id,Email,Subject,Mail_data
priya,munek.kumar@daffodilsw.com,"2014_test-section2 - Section 1.10.33 of ""de Finibus Bonorum et Malorum"", written by Cicero in 45 BC","<div style ='color:#1F497D'><b>Assignment Reminder!</b><br /><br />2014_test-section2<br /><br /><br />Your assignment, <b>Section 1.10.33 of ""de Finibus Bonorum et Malorum"", written by Cicero in 45 BC</b>,  is due on <b>May 26, 2014</b>.<br /></div>"
chris,abhishek.gupta@daffodilsw.com,"2014_test-section2 - Section 1.10.33 of ""de Finibus Bonorum et Malorum"", written by Cicero in 45 BC","<div style ='color:#1F497D'><b>Assignment Reminder!</b><br /><br />2014_test-section2<br /><br /><br />Your assignment, <b>Section 1.10.33 of ""de Finibus Bonorum et Malorum"", written by Cicero in 45 BC</b>,  is due on <b>May 26, 2014</b>.<br /></div>"
richa,abhishek.gupta@daffodilsw.com,"2014_test-section2 - Section 1.10.33 of ""de Finibus Bonorum et Malorum"", written by Cicero in 45 BC","<div style ='color:#1F497D'><b>Assignment Reminder!</b><br /><br />2014_test-section2<br /><br /><br />Your assignment, <b>Section 1.10.33 of ""de Finibus Bonorum et Malorum"", written by Cicero in 45 BC</b>,  is due on <b>May 26, 2014</b>.<br /></div>"
sandy,abhishek.gupta@daffodilsw.com,"2014_test-section2 - Section 1.10.33 of ""de Finibus Bonorum et Malorum"", written by Cicero in 45 BC","<div style ='color:#1F497D'><b>Assignment Reminder!</b><br /><br />2014_test-section2<br /><br /><br />Your assignment, <b>Section 1.10.33 of ""de Finibus Bonorum et Malorum"", written by Cicero in 45 BC</b>,  is due on <b>May 26, 2014</b>.<br /></div>"
priya,munek.kumar@daffodilsw.com,"2014_test-section2 - chapter4","<div style ='color:#1F497D'><b>Assignment Reminder!</b><br /><br />2014_test-section2<br /><br /><br />Your assignment, <b>chapter4</b>,  is due on <b>April 29, 2014</b>.<br /></div>"
chris,abhishek.gupta@daffodilsw.com,"2014_test-section2 - chapter4","<div style ='color:#1F497D'><b>Assignment Reminder!</b><br /><br />2014_test-section2<br /><br /><br />Your assignment, <b>chapter4</b>,  is due on <b>April 29, 2014</b>.<br /></div>"
richa,abhishek.gupta@daffodilsw.com,"2014_test-section2 - chapter4","<div style ='color:#1F497D'><b>Assignment Reminder!</b><br /><br />2014_test-section2<br /><br /><br />Your assignment, <b>chapter4</b>,  is due on <b>April 29, 2014</b>.<br /></div>"
sandy,abhishek.gupta@daffodilsw.com,"2014_test-section2 - chapter4","<div style ='color:#1F497D'><b>Assignment Reminder!</b><br /><br />2014_test-section2<br /><br /><br />Your assignment, <b>chapter4</b>,  is due on <b>April 29, 2014</b>.<br /></div>"
priya,munek.kumar@daffodilsw.com,"2014_test-section2 - Section 1.10.33 of ""de Finibus Bonorum et Malorum"", written by Cicero in 45 BC","<div style ='color:#1F497D'><b>Assignment Reminder!</b><br /><br />2014_test-section2<br /><br /><br />Your assignment, <b>Section 1.10.33 of ""de Finibus Bonorum et Malorum"", written by Cicero in 45 BC</b>,  is due on <b>May 26, 2014</b>.<br /></div>"
chris,abhishek.gupta@daffodilsw.com,"2014_test-section2 - Section 1.10.33 of ""de Finibus Bonorum et Malorum"", written by Cicero in 45 BC","<div style ='color:#1F497D'><b>Assignment Reminder!</b><br /><br />2014_test-section2<br /><br /><br />Your assignment, <b>Section 1.10.33 of ""de Finibus Bonorum et Malorum"", written by Cicero in 45 BC</b>,  is due on <b>May 26, 2014</b>.<br /></div>"
richa,abhishek.gupta@daffodilsw.com,"2014_test-section2 - Section 1.10.33 of ""de Finibus Bonorum et Malorum"", written by Cicero in 45 BC","<div style ='color:#1F497D'><b>Assignment Reminder!</b><br /><br />2014_test-section2<br /><br /><br />Your assignment, <b>Section 1.10.33 of ""de Finibus Bonorum et Malorum"", written by Cicero in 45 BC</b>,  is due on <b>May 26, 2014</b>.<br /></div>"
sandy,abhishek.gupta@daffodilsw.com,"2014_test-section2 - Section 1.10.33 of ""de Finibus Bonorum et Malorum"", written by Cicero in 45 BC","<div style ='color:#1F497D'><b>Assignment Reminder!</b><br /><br />2014_test-section2<br /><br /><br />Your assignment, <b>Section 1.10.33 of ""de Finibus Bonorum et Malorum"", written by Cicero in 45 BC</b>,  is due on <b>May 26, 2014</b>.<br /></div>"
priya,munek.kumar@daffodilsw.com,"2014_test-section2 - chapter4","<div style ='color:#1F497D'><b>Assignment Reminder!</b><br /><br />2014_test-section2<br /><br /><br />Your assignment, <b>chapter4</b>,  is due on <b>April 29, 2014</b>.<br /></div>"
chris,abhishek.gupta@daffodilsw.com,"2014_test-section2 - chapter4","<div style ='color:#1F497D'><b>Assignment Reminder!</b><br /><br />2014_test-section2<br /><br /><br />Your assignment, <b>chapter4</b>,  is due on <b>April 29, 2014</b>.<br /></div>"
richa,abhishek.gupta@daffodilsw.com,"2014_test-section2 - chapter4","<div style ='color:#1F497D'><b>Assignment Reminder!</b><br /><br />2014_test-section2<br /><br /><br />Your assignment, <b>chapter4</b>,  is due on <b>April 29, 2014</b>.<br /></div>"
sandy,abhishek.gupta@daffodilsw.com,"2014_test-section2 - chapter4","<div style ='color:#1F497D'><b>Assignment Reminder!</b><br /><br />2014_test-section2<br /><br /><br />Your assignment, <b>chapter4</b>,  is due on <b>April 29, 2014</b>.<br /></div>"
