Email,Subject,Mail_data
abhishek.gupta@daffodilsw.com,"New Post Added with Subject(Sanjay1edit)","A new comment is posted on <br />03-19-2014: 03:12 PM<p>asdxsdas</p>...<br />For Question sanjay1edit"
abhishek.gupta@daffodilsw.com,"2014_test-Section1- Qwdqewdeq posted by Tarun","A New Post with Subject ""Qwdqewdeq"" is post by user Tarun<br>Course: 2014_test<br> Content Page: Content1"
abhishek.gupta@daffodilsw.com,"New Post Added with Subject(Sanjay1edit)","A new comment is posted on <br />03-19-2014: 03:13 PM<p>qwdeqwed</p>...<br />For Question sanjay1edit"
abhishek.gupta@daffodilsw.com,"2014_test-Section1- Qadwe posted by Sanjay","A New Post with Subject ""Qadwe"" is post by user Sanjay<br>Course: 2014_test<br> Content Page: Content1"
abhishek.gupta@daffodilsw.com,"2014_test-Section1- Qawdewrf posted by Sanjay","A New Post with Subject ""Qawdewrf"" is post by user Sanjay<br>Course: 2014_test<br> Content Page: Content1"
abhishek.gupta@daffodilsw.com,"2014_test-Section1- Aaa posted by Sanjay","A New Post with Subject ""Aaa"" is post by user Sanjay<br>Course: 2014_test<br> Content Page: Content1"
abhishek.gupta@daffodilsw.com,"2014_test-Section1- Sfdcs posted by Tarun","A New Post with Subject ""Sfdcs"" is post by user Tarun<br>Course: 2014_test<br> Content Page: Content1"
abhishek.gupta@daffodilsw.com,"New Post Added with Subject(Sfdcs)","A new comment is posted on <br />03-19-2014: 03:25 PM<p>scadaaadasda</p>...<br />For Question sfdcs"
abhishek.gupta@daffodilsw.com,"New Post Added with Subject(Sfdcs)","A new comment is posted on <br />03-19-2014: 03:25 PM<p>sqwswqw</p>...<br />For Question sfdcs"
abhishek.gupta@daffodilsw.com,"New Post Added with Subject(Sfdcs)","A new comment is posted on <br />03-19-2014: 03:31 PM<p>sdfv</p>...<br />For Question sfdcs"
abhishek.gupta@daffodilsw.com,"2014_test-Section1- Sdfsd posted by Sanjay","A New Post with Subject ""Sdfsd"" is post by user Sanjay<br>Course: 2014_test<br> Content Page: Content1"
abhishek.gupta@daffodilsw.com,"2014_test-Section1- A posted by Sanjay","A New Post with Subject ""A"" is post by user Sanjay<br>Course: 2014_test<br> Content Page: Content1"
